"","topic","total","positive","negative","veto"
"1","Arms control and disarmament",422,0.466824644549763,0.440758293838863,0.0924170616113744
"2","Colonialism",480,0.33125,0.539583333333333,0.129166666666667
"3","Economic development",237,0.270042194092827,0.447257383966245,0.282700421940928
"4","Human rights",431,0.290023201856148,0.498839907192575,0.211136890951276
"5","Nuclear weapons and nuclear material",345,0.344927536231884,0.605797101449275,0.0492753623188406
"6","Palestinian conflict",526,0.237642585551331,0.422053231939163,0.340304182509506
